# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00020479
   -9.91991992    0.00020693
   -9.83983984    0.00020909
   -9.75975976    0.00021130
   -9.67967968    0.00021354
   -9.59959960    0.00021581
   -9.51951952    0.00021812
   -9.43943944    0.00022048
   -9.35935936    0.00022287
   -9.27927928    0.00022530
   -9.19919920    0.00022778
   -9.11911912    0.00023029
   -9.03903904    0.00023285
   -8.95895896    0.00023546
   -8.87887888    0.00023811
   -8.79879880    0.00024080
   -8.71871872    0.00024355
   -8.63863864    0.00024634
   -8.55855856    0.00024919
   -8.47847848    0.00025208
   -8.39839840    0.00025503
   -8.31831832    0.00025804
   -8.23823824    0.00026109
   -8.15815816    0.00026421
   -8.07807808    0.00026738
   -7.99799800    0.00027062
   -7.91791792    0.00027391
   -7.83783784    0.00027727
   -7.75775776    0.00028069
   -7.67767768    0.00028418
   -7.59759760    0.00028774
   -7.51751752    0.00029137
   -7.43743744    0.00029507
   -7.35735736    0.00029885
   -7.27727728    0.00030270
   -7.19719720    0.00030663
   -7.11711712    0.00031063
   -7.03703704    0.00031473
   -6.95695696    0.00031890
   -6.87687688    0.00032317
   -6.79679680    0.00032752
   -6.71671672    0.00033197
   -6.63663664    0.00033651
   -6.55655656    0.00034115
   -6.47647648    0.00034590
   -6.39639640    0.00035074
   -6.31631632    0.00035570
   -6.23623624    0.00036076
   -6.15615616    0.00036594
   -6.07607608    0.00037124
   -5.99599600    0.00037666
   -5.91591592    0.00038220
   -5.83583584    0.00038787
   -5.75575576    0.00039368
   -5.67567568    0.00039962
   -5.59559560    0.00040571
   -5.51551552    0.00041194
   -5.43543544    0.00041833
   -5.35535536    0.00042487
   -5.27527528    0.00043158
   -5.19519520    0.00043845
   -5.11511512    0.00044550
   -5.03503504    0.00045272
   -4.95495495    0.00046014
   -4.87487487    0.00046774
   -4.79479479    0.00047555
   -4.71471471    0.00048357
   -4.63463463    0.00049180
   -4.55455455    0.00050025
   -4.47447447    0.00050893
   -4.39439439    0.00051786
   -4.31431431    0.00052703
   -4.23423423    0.00053646
   -4.15415415    0.00054616
   -4.07407407    0.00055614
   -3.99399399    0.00056642
   -3.91391391    0.00057699
   -3.83383383    0.00058788
   -3.75375375    0.00059910
   -3.67367367    0.00061066
   -3.59359359    0.00062258
   -3.51351351    0.00063487
   -3.43343343    0.00064754
   -3.35335335    0.00066063
   -3.27327327    0.00067413
   -3.19319319    0.00068808
   -3.11311311    0.00070248
   -3.03303303    0.00071737
   -2.95295295    0.00073277
   -2.87287287    0.00074870
   -2.79279279    0.00076518
   -2.71271271    0.00078224
   -2.63263263    0.00079992
   -2.55255255    0.00081823
   -2.47247247    0.00083722
   -2.39239239    0.00085691
   -2.31231231    0.00087736
   -2.23223223    0.00089858
   -2.15215215    0.00092064
   -2.07207207    0.00094356
   -1.99199199    0.00096741
   -1.91191191    0.00099223
   -1.83183183    0.00101807
   -1.75175175    0.00104501
   -1.67167167    0.00107311
   -1.59159159    0.00110243
   -1.51151151    0.00113306
   -1.43143143    0.00116508
   -1.35135135    0.00119858
   -1.27127127    0.00123367
   -1.19119119    0.00127046
   -1.11111111    0.00130908
   -1.03103103    0.00134968
   -0.95095095    0.00139244
   -0.87087087    0.00143756
   -0.79079079    0.00148530
   -0.71071071    0.00153599
   -0.63063063    0.00159009
   -0.55055055    0.00164826
   -0.47047047    0.00171160
   -0.39039039    0.00178205
   -0.31031031    0.00186358
   -0.23023023    0.00196560
   -0.15015015    0.00211382
   -0.07007007    0.00234474
    0.01001001    0.00257463
    0.09009009    0.00263855
    0.17017017    0.00249297
    0.25025025    0.00248430
    0.33033033    0.00254217
    0.41041041    0.00263005
    0.49049049    0.00273580
    0.57057057    0.00285521
    0.65065065    0.00298693
    0.73073073    0.00313088
    0.81081081    0.00328762
    0.89089089    0.00345813
    0.97097097    0.00364371
    1.05105105    0.00384597
    1.13113113    0.00406681
    1.21121121    0.00430849
    1.29129129    0.00457367
    1.37137137    0.00486548
    1.45145145    0.00518760
    1.53153153    0.00554440
    1.61161161    0.00594110
    1.69169169    0.00638392
    1.77177177    0.00688039
    1.85185185    0.00743963
    1.93193193    0.00807284
    2.01201201    0.00879382
    2.09209209    0.00961978
    2.17217217    0.01057239
    2.25225225    0.01167926
    2.33233233    0.01297600
    2.41241241    0.01450916
    2.49249249    0.01634059
    2.57257257    0.01855386
    2.65265265    0.02126417
    2.73273273    0.02463392
    2.81281281    0.02889797
    2.89289289    0.03440650
    2.97297297    0.04170034
    3.05305305    0.05165113
    3.13313313    0.06573838
    3.21321321    0.08664080
    3.29329329    0.11962347
    3.37337337    0.17618850
    3.45345345    0.28482623
    3.53353353    0.51870786
    3.61361361    0.98768435
    3.69369369    1.64545458
    3.77377377    1.83093244
    3.85385385    1.37662448
    3.93393393    0.68181704
    4.01401401    0.35635590
    4.09409409    0.21547162
    4.17417417    0.14634494
    4.25425425    0.11003747
    4.33433433    0.09354133
    4.41441441    0.09101397
    4.49449449    0.09405839
    4.57457457    0.08996717
    4.65465465    0.08763907
    4.73473473    0.07593165
    4.81481481    0.06042982
    4.89489489    0.05264170
    4.97497497    0.05872714
    5.05505506    0.08215260
    5.13513514    0.12226093
    5.21521522    0.13870829
    5.29529530    0.12953244
    5.37537538    0.10765033
    5.45545546    0.11040016
    5.53553554    0.09468632
    5.61561562    0.06958183
    5.69569570    0.06443945
    5.77577578    0.07754032
    5.85585586    0.09607775
    5.93593594    0.12131390
    6.01601602    0.11263093
    6.09609610    0.10540034
    6.17617618    0.07041598
    6.25625626    0.04763147
    6.33633634    0.04542723
