# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00006722
   -9.91991992    0.00006764
   -9.83983984    0.00006807
   -9.75975976    0.00006850
   -9.67967968    0.00006893
   -9.59959960    0.00006937
   -9.51951952    0.00006981
   -9.43943944    0.00007025
   -9.35935936    0.00007070
   -9.27927928    0.00007115
   -9.19919920    0.00007161
   -9.11911912    0.00007207
   -9.03903904    0.00007254
   -8.95895896    0.00007301
   -8.87887888    0.00007349
   -8.79879880    0.00007397
   -8.71871872    0.00007446
   -8.63863864    0.00007495
   -8.55855856    0.00007544
   -8.47847848    0.00007594
   -8.39839840    0.00007645
   -8.31831832    0.00007696
   -8.23823824    0.00007748
   -8.15815816    0.00007800
   -8.07807808    0.00007852
   -7.99799800    0.00007905
   -7.91791792    0.00007959
   -7.83783784    0.00008014
   -7.75775776    0.00008068
   -7.67767768    0.00008124
   -7.59759760    0.00008180
   -7.51751752    0.00008237
   -7.43743744    0.00008294
   -7.35735736    0.00008352
   -7.27727728    0.00008410
   -7.19719720    0.00008469
   -7.11711712    0.00008529
   -7.03703704    0.00008589
   -6.95695696    0.00008650
   -6.87687688    0.00008712
   -6.79679680    0.00008774
   -6.71671672    0.00008837
   -6.63663664    0.00008901
   -6.55655656    0.00008966
   -6.47647648    0.00009031
   -6.39639640    0.00009097
   -6.31631632    0.00009163
   -6.23623624    0.00009231
   -6.15615616    0.00009299
   -6.07607608    0.00009368
   -5.99599600    0.00009438
   -5.91591592    0.00009508
   -5.83583584    0.00009580
   -5.75575576    0.00009652
   -5.67567568    0.00009725
   -5.59559560    0.00009799
   -5.51551552    0.00009873
   -5.43543544    0.00009949
   -5.35535536    0.00010026
   -5.27527528    0.00010103
   -5.19519520    0.00010181
   -5.11511512    0.00010261
   -5.03503504    0.00010341
   -4.95495495    0.00010422
   -4.87487487    0.00010505
   -4.79479479    0.00010588
   -4.71471471    0.00010672
   -4.63463463    0.00010758
   -4.55455455    0.00010844
   -4.47447447    0.00010932
   -4.39439439    0.00011020
   -4.31431431    0.00011110
   -4.23423423    0.00011201
   -4.15415415    0.00011293
   -4.07407407    0.00011386
   -3.99399399    0.00011481
   -3.91391391    0.00011576
   -3.83383383    0.00011673
   -3.75375375    0.00011771
   -3.67367367    0.00011871
   -3.59359359    0.00011972
   -3.51351351    0.00012074
   -3.43343343    0.00012177
   -3.35335335    0.00012282
   -3.27327327    0.00012389
   -3.19319319    0.00012497
   -3.11311311    0.00012606
   -3.03303303    0.00012717
   -2.95295295    0.00012829
   -2.87287287    0.00012943
   -2.79279279    0.00013059
   -2.71271271    0.00013176
   -2.63263263    0.00013295
   -2.55255255    0.00013415
   -2.47247247    0.00013537
   -2.39239239    0.00013662
   -2.31231231    0.00013787
   -2.23223223    0.00013915
   -2.15215215    0.00014045
   -2.07207207    0.00014176
   -1.99199199    0.00014310
   -1.91191191    0.00014445
   -1.83183183    0.00014583
   -1.75175175    0.00014723
   -1.67167167    0.00014864
   -1.59159159    0.00015008
   -1.51151151    0.00015155
   -1.43143143    0.00015303
   -1.35135135    0.00015454
   -1.27127127    0.00015607
   -1.19119119    0.00015763
   -1.11111111    0.00015921
   -1.03103103    0.00016082
   -0.95095095    0.00016246
   -0.87087087    0.00016412
   -0.79079079    0.00016581
   -0.71071071    0.00016753
   -0.63063063    0.00016928
   -0.55055055    0.00017105
   -0.47047047    0.00017286
   -0.39039039    0.00017470
   -0.31031031    0.00017658
   -0.23023023    0.00017849
   -0.15015015    0.00018044
   -0.07007007    0.00018242
    0.01001001    0.00018443
    0.09009009    0.00018646
    0.17017017    0.00018852
    0.25025025    0.00019062
    0.33033033    0.00019276
    0.41041041    0.00019495
    0.49049049    0.00019718
    0.57057057    0.00019945
    0.65065065    0.00020177
    0.73073073    0.00020413
    0.81081081    0.00020654
    0.89089089    0.00020900
    0.97097097    0.00021151
    1.05105105    0.00021406
    1.13113113    0.00021667
    1.21121121    0.00021933
    1.29129129    0.00022205
    1.37137137    0.00022482
    1.45145145    0.00022766
    1.53153153    0.00023055
    1.61161161    0.00023351
    1.69169169    0.00023653
    1.77177177    0.00023961
    1.85185185    0.00024277
    1.93193193    0.00024600
    2.01201201    0.00024930
    2.09209209    0.00025268
    2.17217217    0.00025614
    2.25225225    0.00025968
    2.33233233    0.00026331
    2.41241241    0.00026702
    2.49249249    0.00027084
    2.57257257    0.00027475
    2.65265265    0.00027876
    2.73273273    0.00028288
    2.81281281    0.00028711
    2.89289289    0.00029146
    2.97297297    0.00029593
    3.05305305    0.00030054
    3.13313313    0.00030529
    3.21321321    0.00031018
    3.29329329    0.00031524
    3.37337337    0.00032048
    3.45345345    0.00032590
    3.53353353    0.00033153
    3.61361361    0.00033740
    3.69369369    0.00034352
    3.77377377    0.00034995
    3.85385385    0.00035674
    3.93393393    0.00036395
    4.01401401    0.00037170
    4.09409409    0.00038014
    4.17417417    0.00038954
    4.25425425    0.00040035
    4.33433433    0.00041338
    4.41441441    0.00043034
    4.49449449    0.00045518
    4.57457457    0.00049806
    4.65465465    0.00057898
    4.73473473    0.00071184
    4.81481481    0.00077866
    4.89489489    0.00075399
